id,geo_point_2d,geo_shape,clave_cat,delegacion,perimetro,tipo,nom_id
102,"19.4394492343,-99.137176496","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1371764959908, 19.439449234293505]]}",004_076_16,Cuautémoc,A,Hotel,Sonora
103,"19.4370810464,-99.1361494106","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13614941064809, 19.437081046436173]]}",004_091_27,Cuautémoc,A,Hotel,Cuba
104,"19.43397933,-99.13044075","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13044075, 19.43397933]]}",006_002_12,Cuautémoc,A,Hotel,Palacio
105,"19.4298675871,-99.1370239721","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13702397209634, 19.429867587114536]]}",001_042_04,Cuautémoc,A,Hotel,Isabel
106,"19.4260404694,-99.1546283991","{""type"": ""Polygon"", ""coordinates"": [[[-99.15506380263123, 19.426078560552092], [-99.15492284743894, 19.42641453618962], [-99.15479904607639, 19.426465910925806], [-99.1542204710361, 19.426254144793994], [-99.15394789804314, 19.42615437580783], [-99.1539359246203, 19.426143962907485], [-99.15392283832067, 19.426123679704695], [-99.15392012720737, 19.426102864449586], [-99.15392336507807, 19.42608286235523], [-99.15393343685868, 19.426067330794663], [-99.15410378439358, 19.42588328535849], [-99.15411826224509, 19.42587988191915], [-99.15444833997437, 19.42580215315085], [-99.15478109212314, 19.425723800865338], [-99.15502793846123, 19.425665679489992], [-99.1552111432023, 19.42562253511909], [-99.15524693118306, 19.425642034045296], [-99.15506380263123, 19.426078560552092]]]}",011_245_01,Cuauhtémoc,B,Mercado,Juárez
107,"19.4248237343,-99.1311696681","{""type"": ""Polygon"", ""coordinates"": [[[-99.1313848659507, 19.42526111717865], [-99.13086462249896, 19.42519361204297], [-99.13097806032219, 19.424381440548228], [-99.13147041389263, 19.42444197750457], [-99.13146322685051, 19.42448905156756], [-99.1313800703947, 19.42503362248934], [-99.13141665803191, 19.42503894852956], [-99.13140900316259, 19.42509240698606], [-99.13139602894367, 19.425183078668987], [-99.1313848659507, 19.42526111717865]]]}",307_128_04,Cuauhtémoc,B,Mercado,San Lucas
108,"19.4341817313,-99.1446221837","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14462218373212, 19.434181731269415]]}",002_020_11,Cuautémoc,B,Museo,Memoria y Tolerancia
109,"19.4333600229,-99.1289519995","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12895199954414, 19.433360022884266]]}",006_003_06,Cuautémoc,A,Museo,José Luis Cuevas
110,"19.4356877258,-99.1387888649","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13878886494129, 19.435687725769608]]}",001_003_11,Cuautémoc,A,Museo,Museo interactivo de economía Mide
111,"19.4430614318,-99.1353793874","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13537938738733, 19.44306143180432]]}",004_107_02,Cuautémoc,B,Hotel,Embajadores
112,"19.4328570897,-99.1361965435","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13619654348354, 19.432857089699873]]}",001_023_15,Cuautémoc,A,Hotel,Downtown
113,"19.43374405,-99.13550135","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13550134999998, 19.43374405]]}",001_012_13,Cuautémoc,A,Hotel,San Antonio
114,"19.43836668,-99.14752899","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14752898999997, 19.43836668]]}",003_103_30,Cuautémoc,A,Hotel,Marconi
115,"19.4336966991,-99.1237253904","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12372539041009, 19.433696699148474]]}",323_010_09,Venustiano Carranza,B,Hotel,Antas
116,"19.43339234,-99.14617457","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14617456999999, 19.43339234]]}",002_017_02,Cuautémoc,B,Hotel,"Monte RealL, S.A."
117,"19.4253041176,-99.1405962735","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14059627347848, 19.42530411762172]]}",001_078_03,Cuautémoc,B,Hotel,Mazatlán
118,"19.44371481,-99.14271352","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14271351999997, 19.44371481]]}",003_050_07,Cuautémoc,B,Hotel,Manolete
119,"19.42240955,-99.15052984","{""type"": ""MultiPoint"", ""coordinates"": [[-99.15052984, 19.42240955]]}",002_097_02,Cuautémoc,B,Hotel,Alcazar
120,"19.438089976,-99.1374885065","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13748850651645, 19.438089976007102]]}",004_086_24,Cuautémoc,A,Hotel,"Atlanta, S. DE R.L."
121,"19.4303083246,-99.1405735286","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14057352859476, 19.430308324610486]]}",001_043_15,Cuautémoc,A,Hotel,El Salvador
122,"19.4328655483,-99.1385210348","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13852103477973, 19.43286554831075]]}",001_020_04,Cuautémoc,A,Hotel,Principal
123,"19.4378770032,-99.1358867181","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13588671813946, 19.437877003218627]]}",004_086_36,Cuautémoc,A,Hotel,Florida
124,"19.4297560476,-99.1253498219","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12534982186051, 19.4297560476171]]}",006_052_01,Cuautémoc,A,Hotel,Universo
125,"19.4342350395,-99.1354548065","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13545480653053, 19.43423503952621]]}",001_007_06,Cuautémoc,A,Hotel,Zamora
126,"19.42774805,-99.12796532","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12796531999999, 19.42774805]]}",006_078_04,Cuautémoc,A,Hotel,San Marcos
127,"19.42590571,-99.13203396","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13203395999997, 19.42590571]]}",006_091_20,Cuautémoc,A,Hotel,Parque
128,"19.4270781084,-99.1210175514","{""type"": ""Polygon"", ""coordinates"": [[[-99.12149177378164, 19.427694876432408], [-99.12144060403956, 19.427687332315127], [-99.12102939023032, 19.427626698449448], [-99.12096462858129, 19.42761714602616], [-99.12092980158974, 19.427612007972563], [-99.12089496508177, 19.427606869909866], [-99.12084347177611, 19.427599280391117], [-99.12069832921345, 19.42757787770657], [-99.12061178051901, 19.427565113838206], [-99.12043235359135, 19.427538654232254], [-99.12036790610897, 19.42752915585935], [-99.12039891278353, 19.4273395178916], [-99.12044127865819, 19.427080391093714], [-99.12045515216757, 19.426995563106704], [-99.12047002684999, 19.426904585674222], [-99.12053362545338, 19.426515644709838], [-99.1205425025409, 19.42646133817334], [-99.12060046779435, 19.426469850524608], [-99.12073829948663, 19.42649007748569], [-99.12093101263316, 19.426518364289215], [-99.12101014620552, 19.426529988309394], [-99.1210713667041, 19.426538970911736], [-99.12110500371494, 19.426543909971112], [-99.12113863120932, 19.426548849021856], [-99.1211971484996, 19.426557713507403], [-99.12160730269026, 19.426619963181036], [-99.12166829473365, 19.426629225468186], [-99.12149177378164, 19.427694876432408]]]}",323_061_04(123),Venustiano Carranza,B,Mercado,San Ciprian
129,,,005_125_01,Cuauhtémoc,A,Mercado,Abelardo
130,"19.4351458312,-99.1282270238","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12822702376421, 19.435145831235072]]}",005_114_34,Cuautémoc,A,Museo,Sinagoga Histórica de Justo Sierra
131,"19.4389531509,-99.1479144659","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1479144658855, 19.43895315091235]]}",003_080_06,Cuautémoc,A,Museo,Panteón de San Fernando
132,"19.4248733452,-99.1202942813","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1202942812962, 19.424873345171424]]}",323_102_02,Venustiano Carranza,B,Hotel,De Casa
133,"19.4388860834,-99.1250947991","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12509479913923, 19.438886083385093]]}",005_099_14,Cuautémoc,B,Hotel,Venecia
134,"19.4297026585,-99.1459903503","{""type"": ""Polygon"", ""coordinates"": [[[-99.14622934381833, 19.429840003713515], [-99.14572993477603, 19.429775749207572], [-99.14577135143351, 19.429548097864156], [-99.14585206782787, 19.42956359434585], [-99.14587176148851, 19.429567371327884], [-99.14592438866731, 19.429579830315642], [-99.1459551236615, 19.42958625446658], [-99.1460048003267, 19.429596636101284], [-99.14602222856631, 19.429600277350765], [-99.14609265493867, 19.429618734512438], [-99.14626550980793, 19.429653575398483], [-99.14622934381833, 19.429840003713515]]]}",002_059_01,Cuauhtémoc,B,Mercado,Floreria San Juan
135,"19.4300009578,-99.1430773295","{""type"": ""Polygon"", ""coordinates"": [[[-99.14319996015118, 19.43044536566804], [-99.14282348343117, 19.43039041145208], [-99.14292230235894, 19.42977118352783], [-99.14295585793874, 19.429560933351073], [-99.14298496556235, 19.429564323577196], [-99.14330113268737, 19.429601136625465], [-99.14332985958453, 19.429604481595135], [-99.14329564638066, 19.429823780205858], [-99.14325212469053, 19.430102741384754], [-99.14321979773234, 19.430309966579852], [-99.14319996015118, 19.43044536566804]]]}",002_045_01,Cuauhtémoc,B,Mercado,"Centro Artesanal ""San Juan"""
136,"19.4263840955,-99.1429192037","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1429192036962, 19.42638409549362]]}",002_084_14,Cuautémoc,B,Hotel,Miguel Ángel
137,"19.4421185698,-99.1482841686","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14828416863845, 19.442118569786956]]}",012_108_03,Cuautémoc,B,Hotel,Lepanto
138,"19.4330991176,-99.1423784309","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14237843087086, 19.433099117588846]]}",002_024_08,Cuautémoc,B,Hotel,Marlowe
139,"19.4331109726,-99.1250977437","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12509774370125, 19.43311097260099]]}",006_009_11,Cuautémoc,A,Hotel,Continental Méxicano
140,"19.4374331486,-99.1457705763","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14577057632975, 19.43743314862656]]}",003_092_06,Cuautémoc,A,Hotel,Boutique Cortes
141,"19.4371425556,-99.1367080715","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13670807153923, 19.437142555564062]]}",004_091_24,Cuautémoc,A,Hotel,Princess
142,"19.4263681354,-99.1327278126","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13272781260757, 19.42636813537874]]}",006_127_14,Cuautémoc,A,Hotel,Ambar
143,"19.4327710138,-99.142002608","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14200260804556, 19.43277101375667]]}",002_027_10,Cuautémoc,B,Hotel,Toledo
144,"19.43846278,-99.14185407","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14185406999997, 19.43846278]]}",003_097_17,Cuautémoc,A,Hotel,Covadonga
145,"19.4340221684,-99.1358187396","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1358187395696, 19.4340221684013]]}",001_012_11,Cuautémoc,A,Hotel,Rioja
146,"19.4373584031,-99.1383047535","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13830475354006, 19.437358403064298]]}",004_090_14,Cuautémoc,A,Hotel,Congreso Garage
147,"19.4383757081,-99.1416066037","{""type"": ""Polygon"", ""coordinates"": [[[-99.14165441600093, 19.438753294907848], [-99.14140739204275, 19.43870941763535], [-99.14155946547139, 19.437995769313783], [-99.14180566919697, 19.43804469675772], [-99.14165441600093, 19.438753294907848]]]}",003_098_01,Cuauhtémoc,A,Mercado,2 de Abril
148,"19.4388349207,-99.1502578596","{""type"": ""MultiPoint"", ""coordinates"": [[-99.15025785956453, 19.438834920737452]]}",012_147_13,Cuautémoc,B,Hotel,"Miño, S.A. DE C.V."
149,"19.43031663,-99.12465191","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12465190999997, 19.43031663]]}",323_035_01,Venustiano Carranza,B,Hotel,Liverpool
150,"19.440448428,-99.1365429261","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13654292609617, 19.440448428035303]]}",004_065_10,Cuautémoc,B,Hotel,Moderno
151,"19.4288176211,-99.1314097235","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13140972354749, 19.428817621118075]]}",006_075_25,Cuautémoc,A,Hotel,Patria
152,"19.4353469131,-99.1155716113","{""type"": ""MultiPoint"", ""coordinates"": [[-99.11557161131138, 19.435346913144773]]}",018_322_17,Venustiano Carranza,B,Hotel,Faja de Oro
153,"19.4241764183,-99.1254198454","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12541984543289, 19.424176418303915]]}",323_133_29,Venustiano Carranza,B,Hotel,Navio
154,"19.4245820084,-99.1259208824","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12592088238983, 19.424582008433273]]}",307_119_06,Cuautémoc,B,Hotel,Las Vegas
155,"19.4416371812,-99.1477800117","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1477800117468, 19.441637181163685]]}",003_078_18,Cuautémoc,B,Hotel,Trébol
156,"19.4255480371,-99.1249308096","{""type"": ""Polygon"", ""coordinates"": [[[-99.12536027984414, 19.425866061590007], [-99.12469059970208, 19.425788535120585], [-99.12468538905455, 19.42580425583179], [-99.12468467380671, 19.425809547478014], [-99.12465556769327, 19.42580434824872], [-99.12445315748563, 19.42576814346241], [-99.12451845396804, 19.425398128723476], [-99.12454002918942, 19.42527519130062], [-99.12455784280637, 19.42517368781574], [-99.1246841467093, 19.42519257518125], [-99.1247406562397, 19.42520065888624], [-99.12474126651553, 19.425196396680363], [-99.12480455222135, 19.425205369478313], [-99.12479423810706, 19.425264434917693], [-99.12524093755943, 19.42534104320499], [-99.12539619550725, 19.42536767318489], [-99.12542587270028, 19.4253727640616], [-99.12536027984414, 19.425866061590007]]]}",323_138_04 (3),Venustiano Carranza,B,Mercado,Mariscos
157,"19.4272935771,-99.1227492994","{""type"": ""Polygon"", ""coordinates"": [[[-99.12300747264747, 19.42773123426544], [-99.12280214516548, 19.427704608199857], [-99.12281993434634, 19.427566889971747], [-99.12277892009357, 19.427562301627347], [-99.12270269774474, 19.427553767478333], [-99.12259692116261, 19.42754193001446], [-99.12255498403249, 19.427535824288967], [-99.12251661622872, 19.42753022512589], [-99.12242103462124, 19.42751629499355], [-99.12239524002901, 19.427513696966948], [-99.12241519839247, 19.427381018264892], [-99.12238145611079, 19.427377388829342], [-99.12239382638933, 19.427286383541247], [-99.12238754435732, 19.42728561442197], [-99.12242985085545, 19.426947544853373], [-99.12310813887663, 19.427027086434606], [-99.12300747264747, 19.42773123426544]]]}",323_063_08,Venustiano Carranza,B,Mercado,Merced Comidas
158,"19.4362349051,-99.1302332694","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1302332693731, 19.43623490513985]]}",005_129_16,Cuautémoc,A,Museo,De La Luz
159,"19.4337392469,-99.1311991819","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13119918188742, 19.433739246863297]]}",006_001_06,Cuautémoc,A,Museo,Arte de la Secretaria de Hacienda y Credito Public
160,"19.43610539,-99.1394124008","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13941240076403, 19.436105390000336]]}",004_098_01,Cuautémoc,A,Museo,Museo Nacional de Arte
161,"19.4356652812,-99.1386591361","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13865913613954, 19.43566528119026]]}",001_003_12,Cuautémoc,A,Museo,La Tortura
162,"19.4452741596,-99.1443205075","{""type"": ""Polygon"", ""coordinates"": [[[-99.14489091717047, 19.445648323659718], [-99.1436491804645, 19.44543681332104], [-99.14366380405268, 19.445359307509033], [-99.1437359786407, 19.444976781124968], [-99.14375044019546, 19.444900115105067], [-99.14385942712725, 19.444918650236644], [-99.14391411574786, 19.444927958439315], [-99.14399933291234, 19.444942453905465], [-99.14414105693366, 19.444966564726975], [-99.14428099135795, 19.444990377213433], [-99.14442189679721, 19.445014352259026], [-99.14455785221377, 19.445037477732658], [-99.14470290817435, 19.445062157439782], [-99.14479849206045, 19.44507842374983], [-99.14484507981179, 19.445086349041482], [-99.14499132577976, 19.44511122733131], [-99.14497655984998, 19.445190205185927], [-99.14493664412957, 19.445403750603766], [-99.14492579351534, 19.44546178749198], [-99.14490676919826, 19.445563539419524], [-99.14489091717047, 19.445648323659718]]]}",003_044_01,Cuauhtémoc,B,Mercado,Martínez de la Torre
163,"19.4265454033,-99.1224859032","{""type"": ""Polygon"", ""coordinates"": [[[-99.12310813887663, 19.427027086434606], [-99.12287883501801, 19.427000698504756], [-99.12242985085545, 19.426947544853373], [-99.12238754435732, 19.427285614422043], [-99.12182498896676, 19.427250140084208], [-99.12182805135161, 19.42722493701176], [-99.12199222573625, 19.425875601758246], [-99.12232778841145, 19.425915327656384], [-99.12322182642967, 19.426055893086136], [-99.12310813887663, 19.427027086434606]]]}",323_063_05,Venustiano Carranza,B,Mercado,
164,"19.4388741511,-99.1413308257","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14133082566073, 19.438874151115833]]}",003_113_03,Cuautémoc,B,Hotel,Dos Naciones
165,"19.4248396624,-99.1333096809","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13330968086073, 19.424839662430802]]}",001_086_01,Cuautémoc,B,Hotel,Latino
166,"19.4394422606,-99.1501035229","{""type"": ""MultiPoint"", ""coordinates"": [[-99.15010352289491, 19.439442260627114]]}",012_153_08,Cuautémoc,B,Hotel,Polly
167,"19.4387807061,-99.1398360896","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13983608956958, 19.438780706146094]]}",004_072_07,Cuautémoc,A,Hotel,"Diligencias, S.A."
168,"19.4349726565,-99.147766133","{""type"": ""MultiPoint"", ""coordinates"": [[-99.147766133043, 19.434972656453688]]}",002_014_23,Cuautémoc,B,Hotel,One Alameda
169,"19.4365391003,-99.1335799561","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13357995609114, 19.43653910031621]]}",004_093_16,Cuautémoc,A,Hotel,Azores
170,"19.43162145,-99.13535842","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13535841999997, 19.43162145]]}",001_028_11,Cuautémoc,A,Hotel,NH Hoteles
171,"19.4263416792,-99.1296771488","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12967714881148, 19.42634167916315]]}",006_092_06,Cuautémoc,A,Hotel,Las Cruces
172,"19.4340126845,-99.1357099089","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13570990891644, 19.434012684477807]]}",001_012_12,Cuautémoc,A,Hotel,Cadana
173,"19.4314834886,-99.1259717478","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1259717477648, 19.43148348863708]]}",006_026_38,Cuautémoc,A,Hotel,Soledad
174,"19.436478023,-99.1462458092","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14624580915935, 19.43647802297863]]}",002_005_16,Cuautémoc,B,Museo,Laboratorio Arte Alameda
175,"19.4291934671,-99.1323328561","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13233285613956, 19.429193467082538]]}",006_073_11,Cuautémoc,A,Museo,La Ciudad de México
176,"19.4349517474,-99.1321782303","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13217823031684, 19.43495174741418]]}",004_094_04,Cuautémoc,A,Museo,Fotografía
177,"19.43138889,-99.1370037108","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13700371076403, 19.43138889000033]]}",001_030_06,Cuautémoc,A,Museo,Centro de Exposiciones Canter Europa
178,"19.4457531395,-99.1485982115","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14859821149575, 19.445753139506888]]}",012_069_11,Cuautémoc,B,Hotel,Norte
179,"19.421906236,-99.1246612487","{""type"": ""Polygon"", ""coordinates"": [[[-99.12508017766741, 19.422406695816928], [-99.12496318262161, 19.422393213607116], [-99.124375942394, 19.422325575142377], [-99.12417866336757, 19.422302844589147], [-99.12423490467386, 19.42187213476893], [-99.1241675652546, 19.421864172222282], [-99.12417751637003, 19.421773653820605], [-99.12420387773153, 19.42153377643415], [-99.12421824619892, 19.421403091837693], [-99.12480324676304, 19.421468851978197], [-99.12479795296463, 19.42151241340908], [-99.12482056752246, 19.421515190970855], [-99.12495832979555, 19.421532091551278], [-99.12518559858397, 19.4215599754661], [-99.12508017766741, 19.422406695816928]]]}",423_006_01,Venustiano Carranza,B,Mercado,Mercado Sonora
180,"19.4357633849,-99.1330511805","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13305118045062, 19.435763384912807]]}",004_094_32,Cuautémoc,A,Hotel,"Catedral, S.A. DE C.V."
181,"19.4451852396,-99.1478597989","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14785979893543, 19.445185239584486]]}",012_103_01,Cuautémoc,B,Hotel,Yale
182,"19.42407591,-99.1424737531","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14247375305315, 19.42407591]]}",001_094_26,Cuautémoc,B,Hotel,Macao
183,"19.43807011,-99.13611488","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13611488, 19.43807011]]}",004_075_07,Cuautémoc,A,Hotel,"Antillas, S.A."
184,"19.4306993983,-99.1389056387","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13890563870947, 19.430699398282812]]}",001_043_01,Cuautémoc,A,Hotel,"La Casa de la Luna, S.A. DE C.V."
185,"19.42697144,-99.1415371446","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1415371446085, 19.42697143996823]]}",001_065_14,Cuautémoc,A,Hotel,Virreyes
186,"19.4275038262,-99.1346778267","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13467782672365, 19.42750382616729]]}",001_052_24,Cuautémoc,A,Museo,Casa de la Memoria Indómita
187,"19.4252269549,-99.1252325326","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12523253262276, 19.425226954929265]]}",323_118_36,Venustiano Carranza,B,Hotel,Necaxa
188,"19.4281241134,-99.1460742157","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1460742156506, 19.428124113427042]]}",002_067_08,Cuautémoc,B,Hotel,Manolo 1
189,"19.4391465533,-99.1320851586","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13208515857905, 19.439146553253355]]}",004_081_30,Cuautémoc,A,Museo,La Mujer
190,"19.43311885,-99.14512643","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14512642999998, 19.43311885]]}",002_019_02,Cuautémoc,B,Hotel,Metropol
191,"19.43985567,-99.14782916","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14782915999997, 19.43985567]]}",003_079_12,Cuautémoc,B,Hotel,Ferrol
192,"19.4313325389,-99.1497520491","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14975204912912, 19.431332538918404]]}",002_052_04,Cuautémoc,B,Hotel,Panuco
193,"19.4269448376,-99.1305051483","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13050514832948, 19.42694483755943]]}",006_091_20,Cuautémoc,A,Hotel,Regina
194,"19.4288786806,-99.1456731565","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14567315653163, 19.42887868057971]]}",002_060_04,Cuautémoc,B,Hotel,"San Diego, S.A. DE C.V."
195,"19.4414840739,-99.1394736635","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1394736634886, 19.44148407391426]]}",004_050_13,Cuautémoc,B,Hotel,Emperador
196,"19.4437017048,-99.1325438818","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13254388175187, 19.443701704813744]]}",004_043_06,Cuautémoc,B,Hotel,Boston
197,"19.4399151122,-99.149385962","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14938596200373, 19.439915112249263]]}",012_153_01,Cuautémoc,B,Hotel,Mina
198,"19.4265500891,-99.137772913","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13777291299675, 19.426550089113935]]}",001_066_05,Cuautémoc,A,Hotel,Torreon
199,"19.4330530554,-99.1343604057","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1343604056506, 19.43305305541916]]}",001_024_01,Cuautémoc,A,Hotel,Majestic
200,"19.4340073515,-99.1372646267","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13726462668194, 19.434007351520876]]}",001_014_02,Cuautémoc,A,Hotel,Buenos Aires
201,"19.4303279904,-99.1362313323","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13623133233867, 19.43032799037065]]}",001_041_12,Cuautémoc,A,Hotel,Montecarlo
202,"19.43916542,-99.1331749","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13317489995408, 19.43916542]]}",004_081_23,Cuautémoc,A,Hotel,Río de Janeiro
203,"19.4298553268,-99.1327269808","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13272698083523, 19.4298553267505]]}",001_039_28,Cuautémoc,A,Hotel,Roble
204,"19.4260286762,-99.1249971994","{""type"": ""Polygon"", ""coordinates"": [[[-99.12530656932617, 19.426269969894033], [-99.12463325210133, 19.426190112545374], [-99.12465696982397, 19.426014567159296], [-99.12466429397175, 19.42596040454479], [-99.12468467380673, 19.42580954747802], [-99.12468538905455, 19.42580425583179], [-99.12469059970209, 19.425788535120592], [-99.12536027984414, 19.425866061590025], [-99.12530656932617, 19.426269969894033]]]}",323_138_01,Venustiano Carranza,B,Mercado,Florería
205,"19.435760727,-99.1309926143","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13099261433761, 19.435760727001917]]}",005_129_16,Cuautémoc,A,Museo,Anfiteatro Bolivar
206,"19.4298259264,-99.1386360482","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13863604824077, 19.42982592643274]]}",001_047_36,Cuautémoc,A,Museo,Instituto Cultural México-Israel
207,"19.4344738803,-99.1305689118","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13056891184468, 19.434473880296345]]}",006_002_13,Cuautémoc,A,Museo,Autonomía Universitaria
208,"19.423857491,-99.1225572301","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12255723005443, 19.423857490992155]]}",323_108_11,Venustiano Carranza,B,Hotel,Juárez
209,"19.4236610108,-99.1437572917","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14375729173669, 19.42366101076359]]}",002_087_02,Cuautémoc,B,Hotel,Catalina
210,"19.43082385,-99.12366058","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12366057999998, 19.43082385]]}",323_029_08,Venustiano Carranza,B,Hotel,Hispano
211,"19.4325804122,-99.146356862","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1463568619544, 19.432580412218172]]}",002_032_01,Cuautémoc,B,Hotel,Fleming
212,"19.42155871,-99.1426572917","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14265729170123, 19.42155871003534]]}",001_095_08,Cuautémoc,B,Hotel,Orense
213,"19.432385153,-99.1274363518","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12743635177215, 19.432385152957654]]}",006_018_09,Cuautémoc,A,Hotel,Nevada
214,"19.4345555,-99.13559257","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13559256999999, 19.4345555]]}",001_006_10,Cuautémoc,A,Hotel,Juárez
215,"19.4383767258,-99.1331865203","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13318652033406, 19.438376725845487]]}",004_082_16,Cuautémoc,A,Hotel,"La Fontelina , S.A. DE C.V."
